Scheme,NAV
BNP PARIBAS LIQUID FUND - WEEKLY Income Distribution cum Capital Withdrawal OPTION,1000.5606
BNP PARIBAS LIQUID FUND -- DIRECT PLAN - GROWTH OPTION,3235.8919
BNP PARIBAS LIQUID FUND -- DIRECT PLAN - WEEKLY Income Distribution cum Capital Withdrawal OPTION,1000.5715
BNP PARIBAS LIQUID FUND SPECIAL UNCLAIMED DIV 36A -- GROWTH OPTION,1267.4947
BNP PARIBAS LIQUID FUND SPECIAL UNCLAIMED DIV 36B -- GROWTH OPTION,1367.7863
BNP PARIBAS LIQUID FUND SPECIAL UNCLAIMED RED 36A-- GROWTH OPTION,1266.0297
BNP PARIBAS LIQUID FUND SPECIAL UNCLAIMED RED 36B -- GROWTH OPTION,1366.2404
BOI AXA Mutual Fund,
BOI AXA Liquid FundUnclaimed Dividend greater than3 years,1000
BOI AXA Liquid FundUnclaimed Dividend Upto 3 years,1226.1021
BOI AXA Liquid FundUnclaimed Redemption greater than3 years,1000
BOI AXA Liquid FundUnclaimed Redemption Upto 3 years,1225.974
BOI AXA Liquid Fund- Direct Plan- Daily IDCW,1002.6483
BOI AXA Liquid Fund- Direct Plan- Growth,2417.7141
BOI AXA Liquid Fund- Direct Plan- Weekly IDCW,1061.5519
BOI AXA Liquid Fund- Regular Plan- Daily IDCW,1002.1069
BOI AXA Liquid Fund- Regular Plan- Growth,2397.9713
BOI AXA Liquid Fund- Regular Plan- Weekly IDCW,1001.3124
Canara Robeco Mutual Fund,
CANARA ROBECO LIQUID FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),1005.5
CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,2518.661
CANARA ROBECO LIQUID FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),1802.983
CANARA ROBECO LIQUID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),1002.4562
CANARA ROBECO LIQUID FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment),1000.4342
CANARA ROBECO LIQUID FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),1005.5
CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION,2510.3838
CANARA ROBECO LIQUID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),1002.4256
CANARA ROBECO LIQUID FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),1000.4317
Canara Robeco Liquid Fund -Unclaimed Redemption and Dividend Plan -Direct Growth Option,1371.0885
DSP Mutual Fund,
DSP Liquidity Fund - Direct Plan - Growth,3004.4417
DSP Liquidity Fund - Direct Plan - IDCW - Daily,1000.9329
DSP Liquidity Fund - Direct Plan - IDCW - Weekly,1001.2539
DSP Liquidity Fund - Regular Plan - Growth,2980.5255
DSP Liquidity Fund - Regular Plan - IDCW - Weekly,1001.243
DSP Liquidity Fund- Regular Plan - IDCW - Daily,1000.9329
Edelweiss Mutual Fund,
Edelweiss Liquid Fund - Direct Plan - Bonus Option,1578.4477
Edelweiss Liquid Fund - Direct Plan - Growth Option,2713.1173
Edelweiss Liquid Fund - Direct Plan - IDCW Option,2713.1311
Edelweiss Liquid Fund - Direct Plan Annual - IDCW Option,2713.1091
Edelweiss Liquid Fund - Direct Plan daily - IDCW Option,1002.9603
Edelweiss Liquid Fund - Direct Plan Fortnightly - IDCW Option,2172.3386
Edelweiss Liquid Fund - Direct Plan Monthly - IDCW Option,1007.0893
Edelweiss Liquid Fund - Direct Plan weekly - IDCW Option,2172.7036
Edelweiss Liquid Fund - Regular Plan - Bonus Option,1559.9274
Edelweiss Liquid Fund - Regular Plan - Growth Option,2677.9716
Edelweiss Liquid Fund - Regular Plan - IDCW Option,2677.9753
Edelweiss Liquid Fund - Regular Plan Annual - IDCW Option,1852.9315
Edelweiss Liquid Fund - Regular Plan Daily - IDCW Option,1003.3974
Edelweiss Liquid Fund - Regular Plan Fortnightly - IDCW Option,2154.1633
Edelweiss Liquid Fund - Regular Plan Monthly - IDCW Option,1006.6692
Edelweiss Liquid Fund - Regular Plan Weekly - IDCW Option,1018.5161
Edelweiss Liquid Fund - Retail Plan - Growth Option,2435.4285
Edelweiss Liquid Fund - Retail Plan - Weekly Dividend Option,1230.9502
Edelweiss Liquid Fund - Retail Plan Daily - IDCW Option,1003.1709
Edelweiss Liquid Fund - Retail Plan Monthly - IDCW Option,1246.6467
Edelweiss Liquid Fund - Unclaimed Dividend Plan- Above 3 years,1000
Edelweiss Liquid Fund - Unclaimed Dividend Plan- Upto 3 years,1297.3988
Edelweiss Liquid Fund - Unclaimed Redemption Plan- Above 3 years,1000
Edelweiss Liquid Fund - Unclaimed Redemption Plan- Upto 3 years,1297.4088
Franklin Templeton Mutual Fund,
Franklin India Liquid Fund - Regular Plan - Daily - IDCW,1510.4106
Franklin India Liquid Fund - Regular Plan - Growth,4837.6793
Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,1244.3494
Franklin India Liquid Fund - Super Instittutional - Direct - Growth,3158.2778
Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,1000
Franklin India Liquid Fund - Super Institutional Plan - Direct - Daily - IDCW,1002.1877
Franklin India Liquid Fund - Super Institutional Plan - Direct - Weekly - IDCW,1021.4528
Franklin India Liquid Fund - Super Institutional Plan - Growth,3140.4849
Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,1021.9858
Franklin India Liquid Fund - Unclaimed Dividend Investor Education Plan - Growth,10
Franklin India Liquid Fund - Unclaimed Dividend Plan - Growth,13.3322
Franklin India Liquid Fund - Unclaimed Redemption Investor Education Plan - Growth,10
Franklin India Liquid Fund - Unclaimed Redemption Plan - Growth,13.3322
Franklin India Liquid Fund - Institution-Growth,0
Franklin India Liquid Fund - Institutional Plan - Daily - IDCW,1000
Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW,1054.7698
HDFC Mutual Fund,
HDFC Liquid Fund - Growth Option - Direct Plan,4132.0897
HDFC Liquid Fund - Growth Plan,4101.0093
HDFC Liquid Fund - IDCW Daily,1019.82
HDFC Liquid Fund - IDCW Daily - Direct Plan,1019.82
HDFC Liquid Fund - IDCW Monthly,1029.1017
HDFC Liquid Fund - IDCW Monthly - Direct Plan,1029.1805
HDFC Liquid Fund - IDCW Plan Weekly,1031.6618
HDFC Liquid Fund - IDCW Weekly - Direct Plan,1031.6816
HDFC Liquid Fund-Premium Plan - Dividend-Weekly,10
HDFC Liquid Fund-Premium Plus Plan - Dividend-Weekly,10
HDFC Liquid Fund-PREMIUM PLUS- Growth,10
HSBC Mutual Fund,
HSBC Cash Fund -Growth,2081.0138
HSBC Cash Fund -Growth Direct,2092.9207
HSBC Cash Fund - Daily IDCW,1001.0992
HSBC Cash Fund - Daily IDCW Direct Plan,1000.9401
HSBC Cash Fund - Dividend - Monthly,10.0651
HSBC Cash Fund - Growth,11.4467
HSBC Cash Fund - Inst. - Dividend - Monthly,10
HSBC Cash Fund - Inst. - Growth,18.2843
HSBC Cash Fund - Institutional Plan - Growth,2775.0401
HSBC Cash Fund - Monthly IDCW,1004.2316
HSBC Cash Fund - Monthly IDCW Direct Plan,1040.7216
HSBC Cash Fund - Regular - Growth,17.977
HSBC Cash Fund - Regular - IDCW,1019.3
HSBC Cash Fund - Regular - Weekly IDCW,1000.6358
HSBC Cash Fund - Unclaimed Dividend Above 3 years,1000
HSBC Cash Fund - Unclaimed Dividend Below 3 years,1353.0447
HSBC Cash Fund - Unclaimed Redemption Above 3 years,1000
HSBC Cash Fund - Unclaimed Redemption Below 3 years,1353.0447
HSBC Cash Fund - Weekly IDCW,1108.0504
HSBC Cash Fund - Weekly IDCW Direct Plan,1164.3002
HSBC Cash Fund-Institutional Plan - Daily IDCW,1535.3789
HSBC Cash Fund-Regular-Growth,3025.8855
ICICI Prudential Mutual Fund,
ICICI Prudential Liquid Fund -Quarterly IDCW,100.8524
ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,118.5152
ICICI Prudential Liquid Fund - Bonus,121.0704
ICICI Prudential Liquid Fund - Daily IDCW,100.1482
ICICI Prudential Liquid Fund - Direct Plan -Annual IDCW,100.585
ICICI Prudential Liquid Fund - Direct Plan -Half Yearly IDCW,105.0559
ICICI Prudential Liquid Fund - Direct Plan -IDCW Others,150.312
ICICI Prudential Liquid Fund - Direct Plan - Daily IDCW,100.1082
ICICI Prudential Liquid Fund - Direct Plan - Growth,311.2955
ICICI Prudential Liquid Fund - Direct Plan - Monthly IDCW,100.4357
ICICI Prudential Liquid Fund - Direct Plan - Quarterly IDCW,101.622
ICICI Prudential Liquid Fund - Direct Plan - Weekly IDCW,100.2489
ICICI Prudential Liquid Fund - Direct Plan Bonus,149.1904
ICICI Prudential Liquid Fund - Growth,309.3257
ICICI Prudential Liquid Fund - Half Yearly IDCW,104.013
ICICI Prudential Liquid Fund - IDCW Others,149.6938
ICICI Prudential Liquid Fund - Institutional Option - I,275.6151
ICICI Prudential Liquid Fund - Unclaimed IDCW,137.1799
ICICI Prudential Liquid Fund - Unclaimed IDCW Investor Education,100
ICICI Prudential Liquid Fund - Unclaimed Redemption,137.1799
ICICI Prudential Liquid Fund - Unclaimed Redemption Investor Education,100
ICICI Prudential Liquid Fund - Weekly IDCW,100.2215
ICICI Prudential Liquid Fund -Monthly IDCW,100.3234
ICICI Prudential Liquid Fund-Annual IDCW,100.5347
ICICI Prudential Liquid Fund - Institutional - Daily - Div,118.5022
ICICI Prudential Liquid Fund - Institutional - Weekly - Div,118.6133
ICICI Prudential Liquid Fund Retail Daily Dividend,118.5142
ICICI Prudential Liquid Fund Retail Growth,450.7797
ICICI Prudential Liquid Fund Retail Monthly Dividend,100.5372
ICICI Prudential Liquid Fund Retail Weekly Dividend,118.9171
ICICI Prudential Liquid Institutional Fund - Growth,462.33
IDBI Mutual Fund,
IDBI Liquid Fund Bonus Direct,1694.7647
IDBI Liquid Fund Bonus Regular,1523.1315
IDBI Liquid Fund Growth Direct,2262.0586
IDBI Liquid Fund- Monthly IDCW,1006.455
IDBI Liquid Fund- Monthly IDCW Direct,1004.9245
IDBI Liquid Fund-Daily IDCW,1005.2683
IDBI Liquid Fund-Daily IDCW Direct,1002.3548
IDBI Liquid Fund-Growth,2244.0893
IDBI Liquid Fund-Weekly IDCW,1023.077
IDBI Liquid Fund-Weekly IDCW Direct,1003.8088
IDFC Mutual Fund,
IDFC Cash Fund - Inst Plan B - Periodic Div,0
IDFC Cash Fund - Regular Plan - Daily IDCW,1001.0846
IDFC Cash Fund - Regular Plan - Growth,2525.317
IDFC Cash Fund - Regular Plan - Monthly IDCW,1002.7053
IDFC Cash Fund - Regular Plan - Periodic IDCW,1090.2788
IDFC Cash Fund - Regular Plan - Weekly IDCW,1001.4134
IDFC Cash Fund - Unclaimed IDCW Less than 3 years,1.3523
IDFC Cash Fund - Unclaimed IDCW More than 3 years,1
IDFC Cash Fund - Unclaimed Redemption Less than 3 years,1.3523
IDFC Cash Fund - Unclaimed Redemption More than 3 years,1
IDFC Cash Fund -Direct Plan -Monthly IDCW,1009.4706
IDFC Cash Fund -Direct Plan -Weekly IDCW,1007.2931
IDFC Cash Fund -Direct Plan-Daily IDCW,1001.6663
IDFC Cash Fund -Direct Plan-Growth,2538.9102
IDFC Cash Fund -Direct Plan-Periodic IDCW,1022.8798
IIFL Mutual Fund,
IIFL LIQUID FUND DIRECT PLANDAILY DIVIDEND REINVESTMENT,1000.0427
IIFL LIQUID FUND DIRECT PLANGROWTH,1621.4391
IIFL LIQUID FUND DIRECT PLANWEEKLY DIVIDEND,1005.5222
IIFL LIQUID FUND REGULAR PLANDAILY DIVIDEND REINVESTMENT,1000.0701
IIFL LIQUID FUND REGULAR PLANGROWTH,1614.9367
IIFL LIQUID FUND REGULAR PLANWEEKLY DIVIDEND,1005.5063
Indiabulls Mutual Fund,
Indiabulls Liquid Fund - Direct Plan - Growth Option,2045.5696
Indiabulls Liquid Fund - Growth Option,2027.8079
Indiabulls Liquid Fund- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1001.06
Indiabulls Liquid Fund- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.593
Indiabulls Liquid Fund- Direct Plan- Growth -Unclaimed Redemption < 3 Yrs,2045.9867
Indiabulls Liquid Fund- Direct Plan- Growth- Unclaimed Redemption> 3Yrs,2046.198
Indiabulls Liquid Fund- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1031.3398
Indiabulls Liquid Fund- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1000.5364
Indiabulls Liquid Fund- Direct Plan-Growth- Unclaimed Dividend < 3 Yrs,2034.2857
Indiabulls Liquid Fund- Regular Plan- - Income Distribution cum capital withdrawal Option (Reinvestment),1001.1451
Indiabulls Liquid Fund- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.4952
Indiabulls Liquid Fund- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.739
Indiabulls Liquid Fund- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.6073
Indiabulls Liquid Fund-Direct Plan- Growth- Unclaimed Dividend > 3 Yrs,2045.9085
Invesco Mutual Fund,
Invesco India Liquid Fund - Bonus Option,2871.4357
Invesco India Liquid Fund - Daily IDCW (Reinvestment),1002.7594
Invesco India Liquid Fund - Direct Plan - Growth,2886.7241
Invesco India Liquid Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1052.4888
Invesco India Liquid Fund - Direct Plan - Weekly IDCW (Reinvestment),1000.5
Invesco India Liquid Fund - Direct Plan- Daily IDCW (Reinvestment),1000.9596
Invesco India Liquid Fund - Growth,2869.2539
Invesco India Liquid Fund - Monthly IDCW (Payout / Reinvestment),1005.4678
Invesco India Liquid Fund - Regular - Growth,2589.7639
Invesco India Liquid Fund - Regular - Weekly IDCW (Reinvestment),1001.8998
Invesco India Liquid Fund - Unclaimed Dividend Plan - Above 3 Years,1000
Invesco India Liquid Fund - Unclaimed Dividend Plan - Below 3 Years,1368.0994
Invesco India Liquid Fund - Unclaimed Redemption Plan - Above 3 Years,1000
Invesco India Liquid Fund - Unclaimed Redemption Plan - Below 3 years,1367.9969
Invesco India Liquid Fund - Weekly IDCW (Reinvestment),1003.1661
ITI Mutual Fund,
ITI Liquid Fund - Direct Plan - Annually IDCW Option,1102.319
ITI Liquid Fund - Direct Plan - Daily IDCW Option,1001.3233
ITI Liquid Fund - Direct Plan - Fortnightly IDCW Option,1001.8719
ITI Liquid Fund - Direct Plan - Growth Option,1101.8696
ITI Liquid Fund - Direct Plan - Monthly IDCW Option,1003.467
ITI Liquid Fund - Direct Plan - Weekly IDCW Option,1001.525
ITI Liquid Fund - Regular Plan - Annually IDCW Option,1100.8377
ITI Liquid Fund - Regular Plan - Daily IDCW Option,1001
ITI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum capital withdrawal option Option,1025.5894
ITI Liquid Fund - Regular Plan - Growth Option,1098.7407
ITI Liquid Fund - Regular Plan - Monthly IDCW Option,1003.4133
ITI Liquid Fund - Regular Plan - Weekly IDCW Option,1001.5116
JM Financial Mutual Fund,
JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units,18.4945
JM Liquid Fund (Direct) - Daily IDCW,10.4302
JM Liquid Fund (Direct) - Growth Option,57.4725
JM Liquid Fund (Direct) - Quarterly IDCW,32.6294
JM Liquid Fund (Direct) - Weekly IDCW,11.0124
JM Liquid Fund (Regular) - Quarterly IDCW,32.301
JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,32.8143
JM Liquid Fund (Regular) - Weekly IDCW,11.0098
JM Liquid Fund - Growth Option,57.0682
JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan,41.4437
JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan,41.4437
JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan,41.4437
JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan,57.4747
JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan,41.4437
JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan,57.4747
JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan,41.4437
JM Liquid Fund (Regular) - Bonus Option - Principal Units,18.2734
JM Liquid Fund (Regular) - Daily IDCW,10.4302
Kotak Mahindra Mutual Fund,
Kotak Liquid - Daily Reinvestment of Income Distribution cum capital withdrawal option - Direct,1222.81
Kotak Liquid - Growth - Direct,4248.893
Kotak Liquid Regular Plan Daily Reinvestment of Income Distribution cum capital withdrawal option,1222.81
Kotak Liquid Regular Plan Growth,4226.9212
Kotak Liquid Regular Plan Weekly Reinvestment of Income Distribution cum capital withdrawal option Dividend,1000.476
Kotak Liquid-Institutional Plan(Growth),3046.6062
Kotak Liquid-Institutional Plan (Weekly Dividend),1011.079
Kotak Liquid-Regular (Dividend),1002.9403
Kotak Liquid-Regular (Growth),2893.5255
L&T Mutual Fund,
L&T Liquid Fund - Direct Plan - Bonus,1877.9353
L&T Liquid Fund - Direct Plan - Weekly IDCW,1000.9308
L&T Liquid Fund - Direct Plan -Daily IDCW,1014.3496
L&T Liquid Fund - Direct Plan -Growth,2878.62
L&T Liquid Fund - Regular Plan - Weekly IDCW,1002.7005
L&T Liquid Fund -Regular Plan - Bonus,2318.6887
L&T Liquid Fund -Regular Plan - Daily IDCW,1011.7794
L&T Liquid Fund -Regular Plan - Growth,2864.6261
LIC Mutual Fund,
LIC MF Liquid Fund-Direct Plan-Daily IDCW,1013.6
LIC MF Liquid Fund-Direct Plan-Growth,3818.2032
LIC MF Liquid Fund-Regular Plan-Daily IDCW,1000.1
LIC MF Liquid Fund-Regular Plan-Growth,3780.0286
Mahindra Manulife Mutual Fund,
Mahindra Manulife Liquid Fund - Direct Plan - Daily IDCW,1000.7802
Mahindra Manulife Liquid Fund - Direct Plan - Weekly IDCW,1003.4982
Mahindra Manulife Liquid Fund - Direct Plan -Growth,1366.484
Mahindra Manulife Liquid Fund - Regular Plan - Daily IDCW,1000.7714
Mahindra Manulife Liquid Fund - Regular Plan - Growth,1357.3963
Mahindra Manulife Liquid Fund - Regular Plan - Weekly IDCW,1009.8996
Mahindra Manulife Liquid Fund - Unclaimed Redemption / IDCW Beyond 3 years,1000
Mahindra Manulife Liquid Fund - Unclaimed Redemption / IDCW Upto three years,1217.6663
Mirae Asset Mutual Fund,
Mirae Asset Cash Management Fund - Direct Plan - Growth,2218.7601
Mirae Asset Cash Management Fund - Growth,2189.1807
Mirae Asset Cash Management Fund DirectDaily IDCW,1075.8332
Mirae Asset Cash Management Fund Direct Monthly IDCW,1137.7285
Mirae Asset Cash Management Fund Direct Weekly IDCW,1216.7448
Mirae Asset Cash Management Fund Regular Monthly IDCW,1155.342
Mirae Asset Cash Management Fund Regular Weekly IDCW,1153.0438
Mirae Asset Cash Management Fund RegularDaily IDCW,1066.4347
Motilal Oswal Mutual Fund,
Motilal Oswal Liquid Fund - Direct Growth,11.2565
Motilal Oswal Liquid Fund - Regular Growth,11.2071
Motilal Oswal Liquid Fund - Unclaimed Dividend- Upto 3 years,10.9355
Motilal Oswal Liquid Fund - Unclaimed Redemption - Upto 3 years,10.7344
Motilal Oswal Liquid Fund Direct - IDCWQuarterly Payout/Reinvestment,10.0534
Motilal Oswal Liquid Fund Direct - IDCW Fortnightly Reinvestment,10.0122
Motilal Oswal Liquid Fund Direct - IDCW Monthly Payout/Reinvestment,10.0523
Motilal Oswal Liquid Fund Direct - IDCW Reinvestment,10.0077
Motilal Oswal Liquid Fund Direct - IDCW Weekly Reinvestment,10.0058
Motilal Oswal Liquid Fund Regular - IDCW Daily Reinvestment,10.0055
Motilal Oswal Liquid Fund Regular - IDCW Fortnightly Reinvestment,10.0117
Motilal Oswal Liquid Fund Regular - IDCW Monthly Payout/Reinvestment,10.0512
Motilal Oswal Liquid Fund Regular - IDCW Quarterly Payout/Reinvestment,10.0513
Motilal Oswal Liquid Fund Regular - IDCW Weekly Reinvestment,10.013
Navi Mutual Fund,
Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,1001.29
Navi Liquid Fund - Direct Plan Monthly IDCW - Payout,1004.0848
Navi Liquid Fund - Direct Plan Weekly IDCW - Payout,1001.1468
Navi Liquid Fund - Regular Plan Daily IDCW,1001.2902
Navi Liquid Fund - Regular Plan Monthly IDCW,1004.0411
Navi Liquid Fund - Regular Plan Weekly IDCW,1001.1833
Navi Liquid Fund-Direct Plan-Growth Option,2298.5524
Navi Liquid Fund-Regular Plan-Growth Option,2281.9712
Navi Liquid Fund-Unclaimed Redemption and Dividend Plan greater than 3 years,1000
Navi Liquid Fund-Unclaimed Redemption and Dividend Plan less than 3 years,2286.4278
Nippon India Mutual Fund,
NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,1528.74
NIPPON INDIA LIQUID FUND - DIRECT Plan - DAILY IDCW OPTION,1528.74
NIPPON INDIA LIQUID FUND - DIRECT Plan - MONTHLY IDCW OPTION,1591.577
NIPPON INDIA LIQUID FUND - DIRECT Plan - QUARTERLY IDCW OPTION,1009.4823
NIPPON INDIA LIQUID FUND - DIRECT Plan - WEEKLY IDCW OPTION,1530.3
Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,5141.2797
NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,1588.0942
NIPPON INDIA LIQUID FUND - QUARTERLY IDCW OPTION,1007.5048
Nippon India Liquid Fund - Retail Option - Growth Plan,4614.2196
NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION,1524.28
NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,1329.4003
NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,1218.7549
NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION,1034.17
NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION,1530.3
Nippon India Liquid Fund -Growth Plan,5100.7558
Reliance Liquid Fund-Cash Plan-Daily Dividend Reinvestment Option,1114.15
Reliance Liquid Fund-Cash Plan-Growth Plan,2714.7678
Reliance Liquid Fund-Cash Plan-Monthly Dividend Plan,1004.4865
Reliance Liquid Fund-Cash Plan-Quarterly Dividend Plan,1013.831
Reliance Liquid Fund-Cash Plan-Weekly Dividend Reinvestment Option,1092.0644
PGIM India Mutual Fund,
PGIM India INSTA CASH FUND - Annual Bonus Option,144.9174
PGIM India INSTA CASH FUND - BONUS OPTION,185.8721
PGIM India Insta Cash Fund - Direct Plan -Annual Bonus Option,148.9974
PGIM India Insta Cash Fund - Direct Plan -Regular Bonus,138.2962
PGIM India Insta Cash Fund - Direct Plan - Annual Dividend,144.7765
PGIM India Insta Cash Fund - Direct Plan - Daily Dividend,106.3667
PGIM India Insta Cash Fund - Direct Plan - Growth,273.91
PGIM India Insta Cash Fund - Direct Plan - Monthly Dividend,107.9323
PGIM India Insta Cash Fund - Direct Plan - Quarterly Dividend,145.6889
PGIM India Insta Cash Fund - Direct Plan - Weekly Dividend,100.5427
PGIM India Insta Cash Fund - Direct Plan -Monthly Bonus,132.9596
PGIM India Insta Cash Fund - Monthly Dividend,108.6941
PGIM India Insta Cash Fund - Quarterly Dividend Option,143.9385
PGIM India INSTA CASH FUND - Regular Plan BONUS OPTION,13.7989
PGIM India Insta Cash Fund - Unclaimed Dividend Plan - Below 3 years,133.2525
PGIM India Insta Cash Fund - Unclaimed Redemption Plan - Above 3 years,100
PGIM India Insta Cash Fund - Unclamied Dividend Plan - Above 3 years,100
PGIM India Insta Cash Fund - Unlcaimed Redemption Plan - Below 3 years,133.1622
PGIM India Insta Cash Fund - Weekly Dividend,100.5417
PGIM India Insta Cash Fund -Growth,271.8849
PGIM India Insta Cash Fund- Annual Dividend Option,144.7569
PGIM India Insta Cash Fund-Daily Dividend,100.304
PGIM India Insta Cash Fund-DIVIDEND-Daily Dividend,10.301
PGIM India Insta Cash Fund-DIVIDEND-MONTHLY DIVIDEND,10.0577
PGIM India Insta Cash Fund-DIVIDEND-WEEKLY DIVIDEND,10.3577
PGIM India Insta Cash Fund-Growth-GROWTH,27.706
PGIM India Insta Cash Fund-Institutional Plan-Daily Dividend,10.0516
PGIM India Insta Cash Fund-Institutional Plan-Growth,26.2743
PGIM India INSTA CASH FUND-Monthly Bonus Option,140.0664
PPFAS Mutual Fund,
Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,1000.5404
Parag Parikh Liquid Fund- Direct Plan- Growth,1176.9793
Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,1005.4942
Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,1001
Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,1000.5404
Parag Parikh Liquid Fund- Regular Plan- Growth,1172.694
Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,1005.4163
Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,1001
Principal Mutual Fund,
Principal Cash Management Fund - Daily Income Distribution CUM Capital Withdrawal,1000.8893
Principal Cash Management Fund - Direct Plan - Growth Option,1855.6154
Principal Cash Management Fund - Direct Plan - Income Distribution CUM Capital Withdrawal Option - Daily,1000.6367
Principal Cash Management Fund - Direct Plan - Income Distribution CUM Capital Withdrawal Option - Weekly,1007.1854
Principal Cash Management Fund - Monthly Income Distribution CUM Capital Withdrawal Option,1023.1547
Principal Cash Management Fund - Weekly Income Distribution CUM Capital Withdrawal Option,1006.723
Principal Cash Management Fund -Direct Plan - Income Distribution CUM Capital Withdrawal Option - Monthly,1023.1853
Principal Cash Management Fund -Growth Option,1843.5605
quant Mutual Fund,
quant Liquid Fund - Growth Option - Direct Plan,33.796
quant Liquid Fund - Growth Option - Regular Plan,33.2385
quant Liquid Fund - Monthly IDCW Option - Direct Plan,15.5673
quant Liquid Fund - Monthly IDCW Option - Regular Plan,15.2267
quant Liquid Fund - Weekly IDCW Option - Direct Plan,14.1706
quant Liquid Fund - Weekly IDCW Option - Regular Plan,13.5535
quant Liquid Fund-Daily IDCW Option - Direct Plan,13.511
quant Liquid Fund-Daily IDCW Option - Regular Plan,13.2114
quant Liquid Fund-Unclaimed Dividend Investor Education Plan-Growth Option,10.5338
quant Liquid Fund-Unclaimed Dividend-Growth Option,10.5344
quant Liquid Fund-Unclaimed Redemption Investor Education Plan-Growth Option,10.5338
quant Liquid Fund-Unclaimed Redemption Plan-Growth Option,10.5367
Quantum Mutual Fund,
Quantum Liquid Fund - Direct Plan Daily IDCW,10.0136
Quantum Liquid Fund - Direct Plan Growth Option,28.36
Quantum Liquid Fund - Direct Plan Monthly IDCW,10.0325
Quantum Liquid Fund - Regular Plan Daily IDCW,10.001
Quantum Liquid Fund - Regular Plan Growth Option,28.2637
Quantum Liquid Fund - Regular Plan Monthly IDCW,10.0289
SBI Mutual Fund,
SBI Liquid Fund - Direct Paln - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),1074.7925
SBI Liquid Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1062.0859
SBI Liquid Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1124.125
SBI Liquid Fund - DIRECT PLAN -Growth,3291.3514
SBI Liquid Fund - Institutional - Growth,3301.3489
SBI Liquid Fund - Institutional Daily Income Distribution cum Capital Withdrawal Option (IDCW),1060.5961
SBI Liquid Fund - Institutional Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),1085.2588
SBI Liquid Fund - Institutional Weekly Income Distribution cum Capital Withdrawal Option (IDCW),N.A.
